"region","division","state","pop2000","pop2010","popgrowth","area"
"Midwest","East North Central","Michigan",9938444,9883640,-0.551434409652054,56538.92
"Northeast","New England","Rhode Island",1048319,1052567,0.405220166762216,1033.82
"South","West South Central","Louisiana",4468976,4533372,1.4409564965218,43203.93
"Midwest","East North Central","Ohio",11353140,11536504,1.61509503097821,40860.73
"Northeast","Middle Atlantic","New York",18976457,19378102,2.11654367303654,47126.43
"South","South Atlantic","West Virginia",1808344,1852994,2.46910985962848,24038.21
"Northeast","New England","Vermont",608827,625741,2.77812909085832,9216.67
"Northeast","New England","Massachusetts",6349097,6547629,3.12693285360107,7800.08
"Midwest","East North Central","Illinois",12419293,12830632,3.31209675140123,55519.02
"Northeast","Middle Atlantic","Pennsylvania",12281054,12702379,3.43069088369777,44742.71
"Midwest","West North Central","Iowa",2926324,3046355,4.10176726842277,55857.19
"Northeast","New England","Maine",1274923,1328361,4.19146881811686,30842.92
"South","East South Central","Mississippi",2844658,2967297,4.31120366666221,46923.29
"Northeast","Middle Atlantic","New Jersey",8414350,8791894,4.48690629698075,7354.22
"Midwest","West North Central","North Dakota",642200,672591,4.73232637807537,69000.81
"Northeast","New England","Connecticut",3405565,3574097,4.94872363322973,4842.36
"South","South Atlantic","District of Columbia",572059,601723,5.18547912016068,61.05
"Midwest","East North Central","Wisconsin",5363675,5686986,6.02778878287741,54157.87
"Midwest","West North Central","Kansas",2688418,2853118,6.12627946993362,81758.76
"Northeast","New England","New Hampshire",1235786,1316470,6.52896213422065,8952.66
"Midwest","East North Central","Indiana",6080485,6483802,6.63297417886896,35826.16
"Midwest","West North Central","Nebraska",1711263,1826341,6.72474073242979,76824.22
"Midwest","West North Central","Missouri",5595211,5988927,7.03666045838128,68741.54
"South","East South Central","Kentucky",4041769,4339367,7.36306305481585,39486.38
"South","East South Central","Alabama",4447100,4779736,7.47984079512491,50645.39
"Midwest","West North Central","Minnesota",4919479,5303925,7.81477062916622,79626.79
"Midwest","West North Central","South Dakota",754844,814180,7.86069704468738,75811.04
"South","West South Central","Oklahoma",3450654,3751351,8.71420316264685,68594.99
"South","South Atlantic","Maryland",5296486,5773552,9.00721723799515,9707.23
"South","West South Central","Arkansas",2673400,2915918,9.07151941348096,52035.48
"West","Mountain","Montana",902195,989415,9.66753307211856,145545.84
"West","Pacific","California",33871648,37253956,9.98566116416892,155779.21
"South","East South Central","Tennessee",5689283,6346105,11.5448994187844,41235
"West","Pacific","Oregon",3421399,3831074,11.9739030729827,95988.05
"West","Pacific","Hawaii",1211537,1360301,12.2789481460327,6422.63
"South","South Atlantic","Virginia",7074226,8001024,13.1010516203469,39490.2
"West","Mountain","New Mexico",1819046,2059179,13.2010405454288,121298.17
"West","Pacific","Alaska",626932,710231,13.2867679429348,570640.94
"West","Pacific","Washington",5894121,6724540,14.0889370951156,66455.55
"West","Mountain","Wyoming",493782,563626,14.1447035331381,97093.14
"South","South Atlantic","Delaware",783600,897934,14.5908626850434,1948.55
"South","South Atlantic","South Carolina",4012012,4625364,15.2878904649338,30060.72
"West","Mountain","Colorado",4301261,5029196,16.9237579398228,103641.93
"South","South Atlantic","Florida",15982378,18801310,17.6377507777629,53624.78
"South","South Atlantic","Georgia",8186453,9687653,18.3376121502194,57513.54
"South","South Atlantic","North Carolina",8049313,9535483,18.463314819538,48618.01
"South","West South Central","Texas",20851820,25145561,20.5916845627864,261231.8
"West","Mountain","Idaho",1293953,1567582,21.1467495341794,82643.19
"West","Mountain","Utah",2233169,2763885,23.7651516745934,82169.62
"West","Mountain","Arizona",5130632,6392017,24.5853727182148,113594.09
"West","Mountain","Nevada",1998257,2700551,35.145329154358,109781.18
